v	t
0.09	53388
0.44	77800
0.70	103008
0.61	127812
0.78	152620
0.70	177040
0.87	201856
0.70	227056
0.78	251860
0.96	276280
0.70	301088
0.87	325900
0.87	351108
0.78	375516
0.78	400728
0.87	425784
0.70	449948
0.78	474760
0.87	499964
0.78	524376
0.70	549188
0.87	574000
0.78	598816
0.78	623624
0.87	648428
0.87	673628
0.70	698048
0.87	722860
0.87	748068
0.70	772476
0.78	797292
0.87	822096
0.78	846912
0.78	871724
0.87	896528
0.78	921728
0.87	946148
0.78	970960
0.78	995776
0.70	1020580
0.87	1045784
0.78	1070596
0.78	1095008
0.87	1119820
0.78	1144636
0.87	1169436
0.78	1194244
0.87	1219056
0.70	1243868
0.87	1269084
0.78	1293492
0.78	1318300
0.87	1343112
0.70	1367924
0.87	1392732
0.78	1417936
0.87	1442736
0.78	1467548
0.70	1492368
0.78	1516780
0.87	1541592
0.78	1566396
0.70	1591208
0.87	1616020
0.78	1641220
0.78	1666032
0.78	1690456
0.78	1715256
0.78	1740076
0.78	1764880
0.87	1789692
0.78	1814504
0.78	1839700
0.78	1864116
0.78	1888928
0.87	1913740
0.70	1938952
0.70	1963752
0.87	1988164
0.78	2013380
0.78	2037788
0.52	2062996
0.44	2087404
0.26	2112220
0.35	2137028
0.09	2161844
